IdUsuario;ProjetosVisualizados;QuantosProjetosRecomendar;RecomendacoesSucesso
16;23;6;2
16;23;12;2
16;23;18;2
14;8;6;0
14;8;12;0
14;8;18;0
15;2;6;0
15;2;12;0
15;2;18;0
17;2;6;0
17;2;12;0
17;2;18;0
18;2;6;0
18;2;12;0
18;2;18;0
19;8;6;0
19;8;12;1
19;8;18;1
39;2;6;0
39;2;12;0
39;2;18;0
21;6;6;0
21;6;12;0
21;6;18;0
25;3;6;0
25;3;12;0
25;3;18;0
26;3;6;0
26;3;12;0
26;3;18;0
40;2;6;0
40;2;12;0
40;2;18;0
32;2;6;0
32;2;12;0
32;2;18;0
33;6;6;0
33;6;12;0
33;6;18;0
43;2;6;0
43;2;12;0
43;2;18;0
44;3;6;0
44;3;12;0
44;3;18;0
45;2;6;0
45;2;12;0
45;2;18;0
46;2;6;0
46;2;12;0
46;2;18;0
48;2;6;0
48;2;12;0
48;2;18;0
53;6;6;0
53;6;12;0
53;6;18;0
94;3;6;0
94;3;12;0
94;3;18;0
61;5;6;0
61;5;12;0
61;5;18;0
66;6;6;0
66;6;12;0
66;6;18;0
67;5;6;0
67;5;12;0
67;5;18;0
70;17;6;11
70;17;12;12
70;17;18;15
71;6;6;0
71;6;12;0
71;6;18;0
72;6;6;0
72;6;12;0
72;6;18;0
73;10;6;0
73;10;12;0
73;10;18;0
77;8;6;0
77;8;12;0
77;8;18;0
65;6;6;0
65;6;12;0
65;6;18;0
78;12;6;0
78;12;12;0
78;12;18;0
83;26;6;7
83;26;12;7
83;26;18;8
85;5;6;1
85;5;12;1
85;5;18;1
86;9;6;1
86;9;12;1
86;9;18;1
87;3;6;0
87;3;12;0
87;3;18;0
88;3;6;0
88;3;12;0
88;3;18;0
89;23;6;9
89;23;12;12
89;23;18;16
96;10;6;4
96;10;12;6
96;10;18;6
100;2;6;0
100;2;12;0
100;2;18;0
09;71;6;14
09;71;12;24
09;71;18;32